,date,hospitalizations_dailyrep,perc_hosp_unvaccinated,daily new cases,daily deaths,perc_hosp_vaccinated
58,2021-07-16,190.0,89.5,953.0,1.0,10.5
160,2021-07-17,203.0,90.2,928.0,0.0,9.799999999999995
143,2021-07-18,218.0,91.3,858.0,1.0,8.700000000000003
85,2021-07-19,228.0,91.2,1056.0,5.0,8.799999999999997
115,2021-07-20,231.0,90.0,995.0,1.0,10.0
126,2021-07-21,243.0,92.2,1014.0,3.0,7.799999999999997
89,2021-07-22,264.0,90.2,1046.0,4.0,9.799999999999995
112,2021-07-23,254.0,88.2,895.0,0.0,11.799999999999995
135,2021-07-24,259.0,88.0,789.0,3.0,12.0
132,2021-07-25,276.0,88.8,727.0,2.0,11.200000000000005
4,2021-07-26,270.0,85.5,851.0,1.0,14.5
147,2021-07-27,292.0,88.0,791.0,6.0,12.0
134,2021-07-28,286.0,88.8,769.0,2.0,11.200000000000005
18,2021-07-29,283.0,88.3,655.0,4.0,11.700000000000005
33,2021-07-30,279.0,90.0,635.0,3.0,10.0
14,2021-07-31,288.0,91.13,527.0,2.0,8.870000000000005
36,2021-08-01,301.0,89.85,277.0,1.0,10.150000000000006
11,2021-08-02,287.0,88.62,493.0,4.0,11.379999999999995
94,2021-08-03,289.0,89.28,598.0,3.0,10.72
10,2021-08-04,273.0,89.02,575.0,1.0,10.980000000000004
124,2021-08-05,293.0,89.77,580.0,3.0,10.230000000000004
125,2021-08-06,292.0,90.07,525.0,4.0,9.930000000000009
77,2021-08-07,285.0,90.53,599.0,1.0,9.47
27,2021-08-08,286.0,89.87,389.0,3.0,10.129999999999995
173,2021-08-09,278.0,88.13,446.0,3.0,11.870000000000005
164,2021-08-10,263.0,87.55,573.0,3.0,12.450000000000005
136,2021-08-11,264.0,84.1,484.0,5.0,15.900000000000006
12,2021-08-12,276.0,84.43,402.0,2.0,15.569999999999991
80,2021-08-13,259.0,83.1,419.0,1.0,16.900000000000006
1,2021-08-14,244.0,81.97,401.0,1.0,18.03
104,2021-08-15,240.0,82.09,165.0,0.0,17.909999999999997
145,2021-08-16,234.0,81.2,381.0,5.0,18.8
60,2021-08-17,232.0,81.1,412.0,3.0,18.90000000000001
26,2021-08-18,223.0,81.17,433.0,3.0,18.83
157,2021-08-19,208.0,82.22,420.0,3.0,17.78
127,2021-08-20,201.0,83.09,311.0,5.0,16.909999999999997
20,2021-08-21,194.0,82.48,311.0,2.0,17.519999999999996
114,2021-08-22,194.0,82.99,193.0,6.0,17.010000000000005
154,2021-08-23,196.0,82.66,333.0,1.0,17.340000000000003
72,2021-08-24,184.0,84.79,355.0,2.0,15.209999999999994
37,2021-08-25,181.0,86.19,257.0,0.0,13.810000000000002
170,2021-08-26,178.0,86.52,254.0,5.0,13.480000000000004
131,2021-08-27,159.0,83.02,324.0,6.0,16.980000000000004
48,2021-08-28,152.0,82.9,213.0,1.0,17.099999999999994
162,2021-08-29,157.0,84.08,208.0,2.0,15.920000000000002
34,2021-08-30,143.0,83.22,311.0,2.0,16.78
152,2021-08-31,138.0,78.99,287.0,2.0,21.010000000000005
113,2021-09-01,137.0,81.76,256.0,4.0,18.239999999999995
69,2021-09-02,134.0,79.11,235.0,1.0,20.89
84,2021-09-03,133.0,81.96,238.0,4.0,18.040000000000006
141,2021-09-04,133.0,84.22,295.0,1.0,15.78
120,2021-09-05,143.0,81.82,147.0,2.0,18.180000000000007
38,2021-09-06,139.0,82.74,223.0,1.0,17.260000000000005
19,2021-09-07,141.0,80.15,206.0,2.0,19.849999999999994
133,2021-09-08,131.0,80.92,182.0,5.0,19.08
50,2021-09-09,119.0,80.68,174.0,3.0,19.32
32,2021-09-10,117.0,81.2,142.0,1.0,18.8
0,2021-09-11,106.0,83.97,136.0,1.0,16.03
71,2021-09-12,112.0,83.93,100.0,0.0,16.069999999999993
93,2021-09-13,107.0,82.25,159.0,4.0,17.75
174,2021-09-14,103.0,79.62,126.0,2.0,20.379999999999995
96,2021-09-15,108.0,75.0,230.0,1.0,25.0
156,2021-09-16,97.0,75.0,124.0,1.0,25.0
21,2021-09-17,89.0,74.16,153.0,0.0,25.840000000000003
75,2021-09-18,96.0,76.05,140.0,2.0,23.950000000000003
13,2021-09-19,98.0,78.58,94.0,0.0,21.42
144,2021-09-20,93.0,76.35,156.0,1.0,23.65000000000001
101,2021-09-21,94.0,73.41,117.0,0.0,26.590000000000003
161,2021-09-22,89.0,74.16,106.0,0.0,25.840000000000003
40,2021-09-23,80.0,74.12,145.0,2.0,25.879999999999995
30,2021-09-24,77.0,76.83,109.0,0.0,23.17
82,2021-09-25,78.0,78.32,99.0,1.0,21.680000000000007
15,2021-09-26,79.0,76.2,78.0,1.0,23.8
66,2021-09-27,81.0,74.42,136.0,0.0,25.58
57,2021-09-28,84.0,74.72,117.0,0.0,25.28
9,2021-09-29,81.0,67.86,123.0,0.0,32.14
55,2021-09-30,79.0,66.27,129.0,0.0,33.730000000000004
6,2021-10-01,73.0,61.85,59.0,2.0,38.15
78,2021-10-02,73.0,60.53,84.0,0.0,39.47
139,2021-10-03,68.0,60.28,83.0,0.0,39.72
149,2021-10-04,65.0,56.53,117.0,1.0,43.47
56,2021-10-05,61.0,56.93,146.0,1.0,43.07
51,2021-10-06,59.0,58.74,100.0,1.0,41.26
118,2021-10-07,60.0,56.67,131.0,0.0,43.33
63,2021-10-08,64.0,59.38,144.0,0.0,40.62
3,2021-10-09,60.0,60.0,134.0,0.0,40.0
155,2021-10-10,60.0,60.0,94.0,1.0,40.0
111,2021-10-11,58.0,62.07,170.0,1.0,37.93
83,2021-10-12,60.0,60.94,166.0,0.0,39.06
47,2021-10-13,63.0,62.69,142.0,0.0,37.31
86,2021-10-14,60.0,65.08,153.0,0.0,34.92
166,2021-10-15,56.0,64.41,142.0,0.0,35.59
108,2021-10-16,51.0,66.67,126.0,2.0,33.33
109,2021-10-17,55.0,63.8,99.0,1.0,36.2
168,2021-10-18,57.0,60.0,166.0,2.0,40.0
17,2021-10-19,61.0,61.3,181.0,0.0,38.7
49,2021-10-20,64.0,60.0,143.0,2.0,40.0
45,2021-10-21,58.0,55.18,144.0,0.0,44.82
39,2021-10-22,57.0,59.65,175.0,1.0,40.35
67,2021-10-23,63.0,60.66,97.0,1.0,39.34
138,2021-10-24,63.0,55.56,89.0,0.0,44.44
110,2021-10-25,59.0,55.94,189.0,2.0,44.06
102,2021-10-26,57.0,63.16,162.0,0.0,36.84
44,2021-10-27,56.0,55.36,200.0,1.0,44.64
167,2021-10-28,59.0,57.63,109.0,0.0,42.37
59,2021-10-29,60.0,65.0,160.0,0.0,35.0
8,2021-10-30,58.0,63.8,155.0,3.0,36.2
35,2021-10-31,61.0,62.3,112.0,0.0,37.7
130,2021-11-01,68.0,63.24,280.0,0.0,36.76
100,2021-11-02,70.0,60.0,249.0,1.0,40.0
153,2021-11-03,67.0,68.36,188.0,0.0,31.64
76,2021-11-04,73.0,67.13,252.0,0.0,32.870000000000005
23,2021-11-05,73.0,66.67,227.0,0.0,33.33
54,2021-11-06,74.0,66.24,174.0,1.0,33.760000000000005
121,2021-11-07,69.0,66.18,133.0,0.0,33.81999999999999
91,2021-11-08,67.0,65.68,284.0,0.0,34.31999999999999
175,2021-11-09,71.0,63.39,266.0,0.0,36.61
98,2021-11-10,72.0,65.28,275.0,1.0,34.72
105,2021-11-11,80.0,62.5,264.0,0.0,37.5
42,2021-11-12,82.0,64.64,224.0,1.0,35.36
22,2021-11-13,82.0,62.2,218.0,0.0,37.8
