,date,url,url_perc
500,2020-10-16,https://www.pio.gov.cy/coronavirus/uploads/16102020--Ανακοίνωση για επιβεβαίωση κρουσμάτων κορωνοϊού.pdf,https://www.pio.gov.cy/coronavirus/uploads/16102020--%CE%91%CE%BD%CE%B1%CE%BA%CE%BF%CE%AF%CE%BD%CF%89%CF%83%CE%B7%20%CE%B3%CE%B9%CE%B1%20%CE%B5%CF%80%CE%B9%CE%B2%CE%B5%CE%B2%CE%B1%CE%AF%CF%89%CF%83%CE%B7%20%CE%BA%CF%81%CE%BF%CF%85%CF%83%CE%BC%CE%AC%CF%84%CF%89%CE%BD%20%CE%BA%CE%BF%CF%81%CF%89%CE%BD%CE%BF%CF%8A%CE%BF%CF%8D.pdf
499,2020-10-27,https://www.pio.gov.cy/coronavirus/uploads/27102020--Ανακοίνωση για επιβεβαίωση κρουσμάτων κορωνοϊού.pdf,https://www.pio.gov.cy/coronavirus/uploads/27102020--%CE%91%CE%BD%CE%B1%CE%BA%CE%BF%CE%AF%CE%BD%CF%89%CF%83%CE%B7%20%CE%B3%CE%B9%CE%B1%20%CE%B5%CF%80%CE%B9%CE%B2%CE%B5%CE%B2%CE%B1%CE%AF%CF%89%CF%83%CE%B7%20%CE%BA%CF%81%CE%BF%CF%85%CF%83%CE%BC%CE%AC%CF%84%CF%89%CE%BD%20%CE%BA%CE%BF%CF%81%CF%89%CE%BD%CE%BF%CF%8A%CE%BF%CF%8D.pdf
498,2020-10-28,https://www.pio.gov.cy/coronavirus/uploads/28102020--Ανακοίνωση για επιβεβαίωση κρουσμάτων κορωνοϊού.pdf,https://www.pio.gov.cy/coronavirus/uploads/28102020--%CE%91%CE%BD%CE%B1%CE%BA%CE%BF%CE%AF%CE%BD%CF%89%CF%83%CE%B7%20%CE%B3%CE%B9%CE%B1%20%CE%B5%CF%80%CE%B9%CE%B2%CE%B5%CE%B2%CE%B1%CE%AF%CF%89%CF%83%CE%B7%20%CE%BA%CF%81%CE%BF%CF%85%CF%83%CE%BC%CE%AC%CF%84%CF%89%CE%BD%20%CE%BA%CE%BF%CF%81%CF%89%CE%BD%CE%BF%CF%8A%CE%BF%CF%8D.pdf
497,2020-10-29,https://www.pio.gov.cy/coronavirus/uploads/29102020--Ανακοίνωση για επιβεβαίωση κρουσμάτων κορωνοϊού.pdf,https://www.pio.gov.cy/coronavirus/uploads/29102020--%CE%91%CE%BD%CE%B1%CE%BA%CE%BF%CE%AF%CE%BD%CF%89%CF%83%CE%B7%20%CE%B3%CE%B9%CE%B1%20%CE%B5%CF%80%CE%B9%CE%B2%CE%B5%CE%B2%CE%B1%CE%AF%CF%89%CF%83%CE%B7%20%CE%BA%CF%81%CE%BF%CF%85%CF%83%CE%BC%CE%AC%CF%84%CF%89%CE%BD%20%CE%BA%CE%BF%CF%81%CF%89%CE%BD%CE%BF%CF%8A%CE%BF%CF%8D.pdf
496,2020-10-30,https://www.pio.gov.cy/coronavirus/uploads/30102020--Ανακοίνωση για επιβεβαίωση κρουσμάτων κορωνοϊού.pdf,https://www.pio.gov.cy/coronavirus/uploads/30102020--%CE%91%CE%BD%CE%B1%CE%BA%CE%BF%CE%AF%CE%BD%CF%89%CF%83%CE%B7%20%CE%B3%CE%B9%CE%B1%20%CE%B5%CF%80%CE%B9%CE%B2%CE%B5%CE%B2%CE%B1%CE%AF%CF%89%CF%83%CE%B7%20%CE%BA%CF%81%CE%BF%CF%85%CF%83%CE%BC%CE%AC%CF%84%CF%89%CE%BD%20%CE%BA%CE%BF%CF%81%CF%89%CE%BD%CE%BF%CF%8A%CE%BF%CF%8D.pdf
495,2020-10-31,https://www.pio.gov.cy/coronavirus/uploads/31102020--Ανακοίνωση για επιβεβαίωση κρουσμάτων κορωνοϊού.pdf,https://www.pio.gov.cy/coronavirus/uploads/31102020--%CE%91%CE%BD%CE%B1%CE%BA%CE%BF%CE%AF%CE%BD%CF%89%CF%83%CE%B7%20%CE%B3%CE%B9%CE%B1%20%CE%B5%CF%80%CE%B9%CE%B2%CE%B5%CE%B2%CE%B1%CE%AF%CF%89%CF%83%CE%B7%20%CE%BA%CF%81%CE%BF%CF%85%CF%83%CE%BC%CE%AC%CF%84%CF%89%CE%BD%20%CE%BA%CE%BF%CF%81%CF%89%CE%BD%CE%BF%CF%8A%CE%BF%CF%8D.pdf
494,2020-11-01,https://www.pio.gov.cy/coronavirus/uploads/01112020--Ανακοίνωση για επιβεβαίωση κρουσμάτων κορωνοϊού.pdf,https://www.pio.gov.cy/coronavirus/uploads/01112020--%CE%91%CE%BD%CE%B1%CE%BA%CE%BF%CE%AF%CE%BD%CF%89%CF%83%CE%B7%20%CE%B3%CE%B9%CE%B1%20%CE%B5%CF%80%CE%B9%CE%B2%CE%B5%CE%B2%CE%B1%CE%AF%CF%89%CF%83%CE%B7%20%CE%BA%CF%81%CE%BF%CF%85%CF%83%CE%BC%CE%AC%CF%84%CF%89%CE%BD%20%CE%BA%CE%BF%CF%81%CF%89%CE%BD%CE%BF%CF%8A%CE%BF%CF%8D.pdf
493,2020-11-02,https://www.pio.gov.cy/coronavirus/uploads/02112020--Ανακοίνωση για επιβεβαίωση κρουσμάτων κορωνοϊού.pdf,https://www.pio.gov.cy/coronavirus/uploads/02112020--%CE%91%CE%BD%CE%B1%CE%BA%CE%BF%CE%AF%CE%BD%CF%89%CF%83%CE%B7%20%CE%B3%CE%B9%CE%B1%20%CE%B5%CF%80%CE%B9%CE%B2%CE%B5%CE%B2%CE%B1%CE%AF%CF%89%CF%83%CE%B7%20%CE%BA%CF%81%CE%BF%CF%85%CF%83%CE%BC%CE%AC%CF%84%CF%89%CE%BD%20%CE%BA%CE%BF%CF%81%CF%89%CE%BD%CE%BF%CF%8A%CE%BF%CF%8D.pdf
492,2020-11-03,https://www.pio.gov.cy/coronavirus/uploads/03112020--Ανακοίνωση για επιβεβαίωση κρουσμάτων κορωνοϊού.pdf,https://www.pio.gov.cy/coronavirus/uploads/03112020--%CE%91%CE%BD%CE%B1%CE%BA%CE%BF%CE%AF%CE%BD%CF%89%CF%83%CE%B7%20%CE%B3%CE%B9%CE%B1%20%CE%B5%CF%80%CE%B9%CE%B2%CE%B5%CE%B2%CE%B1%CE%AF%CF%89%CF%83%CE%B7%20%CE%BA%CF%81%CE%BF%CF%85%CF%83%CE%BC%CE%AC%CF%84%CF%89%CE%BD%20%CE%BA%CE%BF%CF%81%CF%89%CE%BD%CE%BF%CF%8A%CE%BF%CF%8D.pdf
491,2020-11-09,https://www.pio.gov.cy/coronavirus/uploads/09112020--Ανακοίνωση για επιβεβαίωση κρουσμάτων κορωνοϊού.pdf,https://www.pio.gov.cy/coronavirus/uploads/09112020--%CE%91%CE%BD%CE%B1%CE%BA%CE%BF%CE%AF%CE%BD%CF%89%CF%83%CE%B7%20%CE%B3%CE%B9%CE%B1%20%CE%B5%CF%80%CE%B9%CE%B2%CE%B5%CE%B2%CE%B1%CE%AF%CF%89%CF%83%CE%B7%20%CE%BA%CF%81%CE%BF%CF%85%CF%83%CE%BC%CE%AC%CF%84%CF%89%CE%BD%20%CE%BA%CE%BF%CF%81%CF%89%CE%BD%CE%BF%CF%8A%CE%BF%CF%8D.pdf
