,date,daily new cases,daily deaths,Hospitalised Cases,Severe Cases,Cases In ICUs,Incubated Cases,PCR_daily tests performed,RA_daily tests performed,total_daily tests performed,total cases,total deaths,total PCR tests,total RA tests,total tests,Notes,perc_hosp_unvaccinated,perc_hosp_vaccinated,Hospitalizations from reports,n_hospitalized_unvaccinated,n_hospitalized_vaccinated
0,2020-03-09,2,,,,,,,,,2,0,,,,,,,,,
1,2020-03-10,1,,,,,,,,,3,0,,,,,,,,,
2,2020-03-11,3,,,,,,,,,6,0,,,,,,,,,
3,2020-03-12,0,,,,,,,,,6,0,,,,,,,,,
4,2020-03-13,8,,,,,,,,,14,0,,,,,,,,,
5,2020-03-14,12,,,,,,,,,26,0,,,,,,,,,
6,2020-03-15,0,,,,,,,,,33,0,,,,,,,,,
7,2020-03-16,7,,,,,,,,,46,0,,,,,,,,,
8,2020-03-17,13,,,,,,,,,49,0,,,,,,,,,
9,2020-03-18,3,,,,,,,,,58,0,,,,,,,,,
10,2020-03-19,18,,,,,,,,,67,0,,,,,,,,,
11,2020-03-20,8,,,,,,,,,75,0,,,,,,,,,
12,2020-03-21,9,1.0,,,,,,,,84,1,,,,,,,,,
13,2020-03-22,11,,,,,,,,,95,1,,,,,,,,,
14,2020-03-23,21,,,,,,,,,116,1,,,,,,,,,
15,2020-03-24,8,1.0,24.0,,4.0,4.0,,,,124,2,,,,,,,,,
16,2020-03-25,8,,23.0,,5.0,5.0,,,,132,2,,,,,,,,,
17,2020-03-26,14,,21.0,,6.0,6.0,,,,146,2,,,,,,,,,
18,2020-03-27,16,2.0,29.0,,8.0,7.0,,,,162,4,,,,,,,,,
19,2020-03-28,17,,34.0,,11.0,10.0,,,,179,4,5917.0,,,,,,,,
20,2020-03-29,35,,33.0,,9.0,9.0,530.0,,530.0,214,4,6447.0,,,,,,,,
21,2020-03-30,16,2.0,34.0,,10.0,10.0,400.0,,400.0,230,6,6847.0,,,,,,,,
22,2020-03-31,32,,40.0,,11.0,11.0,550.0,,550.0,262,6,7397.0,,,,,,,,
23,2020-04-01,58,1.0,54.0,,11.0,11.0,779.0,,779.0,320,7,8176.0,,,,,,,,
24,2020-04-02,36,1.0,51.0,,9.0,9.0,603.0,,603.0,356,8,8779.0,,,,,,,,
