,date,daily new cases,daily deaths,Hospitalised Cases,Severe Cases,Cases In ICUs,Incubated Cases,PCR_daily tests performed,RA_daily tests performed,total_daily tests performed,total cases,total deaths,total PCR tests,total RA tests,total tests,Notes
0,2020-03-09,2,,,,,,,,,2,0,,,,
1,2020-03-10,1,,,,,,,,,3,0,,,,
2,2020-03-11,3,,,,,,,,,6,0,,,,
3,2020-03-12,0,,,,,,,,,6,0,,,,
4,2020-03-13,8,,,,,,,,,14,0,,,,
5,2020-03-14,12,,,,,,,,,26,0,,,,
6,2020-03-15,0,,,,,,,,,33,0,,,,
7,2020-03-16,7,,,,,,,,,46,0,,,,
8,2020-03-17,13,,,,,,,,,49,0,,,,
9,2020-03-18,3,,,,,,,,,58,0,,,,
10,2020-03-19,18,,,,,,,,,67,0,,,,
11,2020-03-20,8,,,,,,,,,75,0,,,,
12,2020-03-21,9,1.0,,,,,,,,84,1,,,,
13,2020-03-22,11,,,,,,,,,95,1,,,,
14,2020-03-23,21,,,,,,,,,116,1,,,,
15,2020-03-24,8,1.0,24,,4,4,,,,124,2,,,,
16,2020-03-25,8,,23,,5,5,,,,132,2,,,,
17,2020-03-26,14,,21,,6,6,,,,146,2,,,,
18,2020-03-27,16,2.0,29,,8,7,,,,162,4,,,,
19,2020-03-28,17,,34,,11,10,,,,179,4,5917,,,
20,2020-03-29,35,,33,,9,9,530,,530.0,214,4,6447,,,
21,2020-03-30,16,2.0,34,,10,10,400,,400.0,230,6,6847,,,
22,2020-03-31,32,,40,,11,11,550,,550.0,262,6,7397,,,
23,2020-04-01,58,1.0,54,,11,11,779,,779.0,320,7,8176,,,
24,2020-04-02,36,1.0,51,,9,9,603,,603.0,356,8,8779,,,
25,2020-04-03,40,1.0,55,,12,11,668,,668.0,396,9,9447,,,
26,2020-04-04,30,,56,,11,10,698,,698.0,426,9,10145,,,
27,2020-04-05,20,,55,,11,11,792,,792.0,446,9,10937,,,
28,2020-04-06,19,,48,,11,11,718,,718.0,465,9,11655,,,
29,2020-04-07,29,,51,,13,13,1353,,1353.0,494,9,13008,,,
30,2020-04-08,32,,45,,14,13,1256,,1256.0,526,9,14264,,,
31,2020-04-09,38,1.0,51,,12,12,1216,,1216.0,564,10,15480,,,
