,YearWeekISO,Denominator,NumberDosesReceived,NumberDosesExported,FirstDose,SecondDose,DoseAdditional1,District,TargetGroup,Vaccine,Population
0,2020-W52,888005.0,9750,,369,0,0,ALL,ALL,COM,888005
1,2020-W52,84850.0,0,,5,0,0,ALL,Age18_24,COM,888005
2,2020-W52,330295.0,0,,66,0,0,ALL,Age25_49,COM,888005
3,2020-W52,107634.0,0,,17,0,0,ALL,Age50_59,COM,888005
4,2020-W52,94714.0,0,,35,0,0,ALL,Age60_69,COM,888005
5,2020-W52,66429.0,0,,28,0,0,ALL,Age70_79,COM,888005
6,2020-W52,33530.0,0,,218,0,0,ALL,Age80+,COM,888005
7,2020-W52,,0,,17,0,0,ALL,HCW,COM,888005
8,2020-W52,,0,,345,0,0,ALL,LTCF,COM,888005
9,2020-W53,888005.0,6825,,2641,0,0,ALL,ALL,COM,888005
10,2020-W53,84850.0,0,,25,0,0,ALL,Age18_24,COM,888005
11,2020-W53,330295.0,0,,795,0,0,ALL,Age25_49,COM,888005
12,2020-W53,107634.0,0,,399,0,0,ALL,Age50_59,COM,888005
13,2020-W53,94714.0,0,,371,0,0,ALL,Age60_69,COM,888005
14,2020-W53,66429.0,0,,281,0,0,ALL,Age70_79,COM,888005
15,2020-W53,33530.0,0,,770,0,0,ALL,Age80+,COM,888005
16,2020-W53,,0,,0,0,0,ALL,AgeUNK,COM,888005
17,2020-W53,,0,,655,0,0,ALL,HCW,COM,888005
18,2020-W53,,0,,1763,0,0,ALL,LTCF,COM,888005
19,2021-W01,888005.0,6825,,3105,1,0,ALL,ALL,COM,888005
20,2021-W01,84850.0,0,,41,0,0,ALL,Age18_24,COM,888005
21,2021-W01,330295.0,0,,1124,1,0,ALL,Age25_49,COM,888005
22,2021-W01,107634.0,0,,504,0,0,ALL,Age50_59,COM,888005
23,2021-W01,94714.0,0,,318,0,0,ALL,Age60_69,COM,888005
24,2021-W01,66429.0,0,,175,0,0,ALL,Age70_79,COM,888005
25,2021-W01,33530.0,0,,943,0,0,ALL,Age80+,COM,888005
26,2021-W01,,0,,844,0,0,ALL,HCW,COM,888005
27,2021-W01,,0,,928,1,0,ALL,LTCF,COM,888005
28,2021-W02,888005.0,1200,,0,0,0,ALL,ALL,MOD,888005
29,2021-W02,888005.0,6825,,4423,324,0,ALL,ALL,COM,888005
30,2021-W02,84850.0,0,,15,4,0,ALL,Age18_24,COM,888005
31,2021-W02,330295.0,0,,676,55,0,ALL,Age25_49,COM,888005
32,2021-W02,107634.0,0,,337,12,0,ALL,Age50_59,COM,888005
33,2021-W02,94714.0,0,,295,31,0,ALL,Age60_69,COM,888005
34,2021-W02,66429.0,0,,129,25,0,ALL,Age70_79,COM,888005
35,2021-W02,33530.0,0,,2971,197,0,ALL,Age80+,COM,888005
36,2021-W02,,0,,641,17,0,ALL,HCW,COM,888005
37,2021-W02,,0,,337,301,0,ALL,LTCF,COM,888005
38,2021-W03,888005.0,0,,210,0,0,ALL,ALL,MOD,888005
39,2021-W03,888005.0,2430,,4677,2371,0,ALL,ALL,COM,888005
40,2021-W03,84850.0,0,,33,21,0,ALL,Age18_24,COM,888005
41,2021-W03,330295.0,0,,323,728,0,ALL,Age25_49,COM,888005
42,2021-W03,330295.0,0,,1,0,0,ALL,Age25_49,MOD,888005
43,2021-W03,107634.0,0,,186,359,0,ALL,Age50_59,COM,888005
44,2021-W03,94714.0,0,,151,337,0,ALL,Age60_69,COM,888005
45,2021-W03,66429.0,0,,136,255,0,ALL,Age70_79,COM,888005
46,2021-W03,33530.0,0,,3848,671,0,ALL,Age80+,COM,888005
47,2021-W03,33530.0,0,,209,0,0,ALL,Age80+,MOD,888005
48,2021-W03,,0,,0,0,0,ALL,AgeUNK,COM,888005
49,2021-W03,,0,,258,636,0,ALL,HCW,COM,888005
50,2021-W03,,0,,1,0,0,ALL,HCW,MOD,888005
51,2021-W03,,0,,128,1516,0,ALL,LTCF,COM,888005
52,2021-W03,,0,,6,0,0,ALL,LTCF,MOD,888005
53,2021-W04,888005.0,1200,,210,0,0,ALL,ALL,MOD,888005
